Business Name,Contact Email,Sector,Compliance Status,Last Outreach Date,Last Response Date,Assigned Officer,Notes,Next Action
Al Habtoor Contracting LLC,msirajulhudak@gmail.com,Construction,Pending Outreach,,,Ahmed Al Mansoori,New entry in registry,Send initial report request
Gulf Horizon Trading LLC,info@gulfhorizon-demo.ae,Retail,Report Requested,2026-06-20,,Fatima Al Zaabi,Awaiting Q2 Emiratization report,Follow up if no reply by 2026-07-05
Emirates Medical Center,admin@emc-demo.ae,Healthcare,Response Received,2026-06-15,2026-06-28,Khalid Al Suwaidi,Report received; pending review,Review against SOP
Nakheel Logistics FZE,hr@nakheel-logistics-demo.ae,Logistics,Incomplete Submission,2026-06-10,2026-06-25,Fatima Al Zaabi,Missing UAE-national headcount,Request the missing figures
Desert Rose Hospitality LLC,ops@desertrose-demo.ae,Hospitality,Under Review,2026-06-12,2026-06-30,Ahmed Al Mansoori,With officer for review,Complete review and record decision
Sharaf IT Solutions LLC,contact@sharafit-demo.ae,Information Technology,Follow-up Sent,2026-06-05,,Noura Al Ali,Second reminder sent,Escalate if no reply by 2026-07-10
Al Ain Manufacturing Co,quality@alain-mfg-demo.ae,Manufacturing,Escalation Required,2026-05-28,2026-06-18,Khalid Al Suwaidi,Reported below 2% Emiratization,Escalate to MoHRE officer
Bright Future Education LLC,principal@brightfuture-demo.ae,Education,Completed,2026-05-20,2026-06-02,Noura Al Ali,Compliant; submitted on time,None
Marina Bay Real Estate LLC,info@marinabay-demo.ae,Real Estate,Pending Outreach,,,Ahmed Al Mansoori,New entry in registry,Send initial report request
Oasis Retail Group,feedback@oasisretail-demo.ae,Retail,Report Requested,2026-06-22,,Fatima Al Zaabi,Q2 report requested,Follow up by 2026-07-08
Falcon Security Services LLC,admin@falconsec-demo.ae,Security,Response Received,2026-06-18,2026-07-01,Khalid Al Suwaidi,Report received,Review against SOP
Pearl Banking Services,compliance@pearlbank-demo.ae,Banking,Incomplete Submission,2026-06-08,2026-06-24,Noura Al Ali,No supporting documents attached,Request supporting documents
